search URL:,https://patents.google.com/?assignee=Univ+Bath&after=filing:20100101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2017143632-A1,Process for the production of particles ,The University Of Bath,"Robert Price, Joerg Sebastian KAERGER",2003-02-21,2016-10-23,2017-05-25,,https://patents.google.com/patent/US20170143632A1/en,https://patentimages.storage.googleapis.com/c9/39/33/b384036f3dd989/US20170143632A1-20170525-D00001.png
US-2016091448-A1,Apparatus and method for measuring electromagnetic properties ,The University Of Bath,Manuchehr Soleimani,2013-05-13,2014-05-13,2016-03-31,,https://patents.google.com/patent/US20160091448A1/en,https://patentimages.storage.googleapis.com/13/71/31/a53623c36adfcf/US20160091448A1-20160331-D00000.png
US-2021361822-A1,Functional wound dressing ,"Paul Hartmann Ag, University Of Bath","Markus Kettel, Andrew Tobias Jenkins, Naing Tun Thet",2018-05-14,2019-05-13,2021-11-25,,https://patents.google.com/patent/US20210361822A1/en,https://patentimages.storage.googleapis.com/90/5c/9d/52feb6eeeecf53/US20210361822A1-20211125-D00000.png
WO-2016097751-A1,Method of cas9 mediated genome engineering ,The University Of Bath,"Anthony Perry, Toru Suzuki, Maki Asami",2014-12-18,2015-12-18,2016-06-23,,https://patents.google.com/patent/WO2016097751A1/en,
JP-2015172089-A,Orvinol and thevinol derivatives useful in the treatment of drug and alcohol abuse ,"ザ ユニバーシティ オブ バース, Univ Of Bath, ザ  ユニバーシティ  オブ  バース","ルイス、ジョン, Lewis John, ハズバンズ，スティーブン, Husbands Stephen",2011-07-08,2015-07-06,2015-10-01,,https://patents.google.com/patent/JP2015172089A/en,
US-2017342025-A1,"Antimicrobial compounds, compositions and methods ","The University Of Bath, Swansea University","Barry Victor Lloyd Potter, Wolfgang DOHLE, Xiangdong Su, John Normanton, Edward Dudley, Yamni Nigam",2014-12-31,2015-12-29,2017-11-30,,https://patents.google.com/patent/US20170342025A1/en,
CN-110431554-A,Generating object to be fabricated indicates ,巴斯大学,"V·多基亚, J·弗林, W·艾辛克",2017-01-12,2018-01-09,2019-11-08,,https://patents.google.com/patent/CN110431554A/en,
CN-109075725-A,Device and method for producing electricl energy ,巴斯大学,"丹尼尔·扎贝克, 克里斯托弗·R·鲍恩, 文森特·阿耶尔, 伊夫·贝尔坦, 西里尔·罗密斯坦特",2016-02-12,2017-02-10,2018-12-21,,https://patents.google.com/patent/CN109075725A/en,
CN-110691637-A,Air filter ,巴斯大学,"S·P·佩雷拉, B·D·克里滕登, O·卡慕斯, 周阳明, R·吉",2017-04-18,2018-04-18,2020-01-14,,https://patents.google.com/patent/CN110691637A/en,https://patentimages.storage.googleapis.com/78/cf/76/a6a760dc2f0ba3/HDA0002295022270000051.png
CN-109414227-A,Multiplexing for non-invasive monitoring substance is percutaneously extracted and detection device and its application method ,巴斯大学,"理查德·盖伊, 阿德利娜·伊利耶, 卢卡·利帕尼, 弗洛里安特·东梅内, 伯特兰·吉尔伯特·罗格·雅克·杜邦",2016-04-26,2017-04-26,2019-03-01,,https://patents.google.com/patent/CN109414227A/en,
AU-2011201954-A1,Seeds ,The University Of Bath,Roderick Scott,2004-03-05,2011-04-29,2011-05-26,,https://patents.google.com/patent/AU2011201954A1/en,
CN-110418770-A,Manufacture the method with not the imaging fiber device and fiber device of same core size ,巴斯大学,詹姆斯·斯通,2017-01-19,2018-01-19,2019-11-05,,https://patents.google.com/patent/CN110418770A/en,
EP-2856393-A2,Neural network ,The University of Bath,Alain NOGARET,2012-05-25,2013-05-07,2015-04-08,,https://patents.google.com/patent/EP2856393A2/en,
US-2017313978-A1,Endogenous retrovirus transcription as a marker for primate naive pluripotent stem cells ,"Max-Delbrück-Centrum Für Molekulare Medizin In Der Helmholtz-Gemeinschaft, University Of Bath","Jichang Wang, Zsuzsanna Izsvák, Laurence Daniel Hurst",2014-10-07,2015-10-07,2017-11-02,,https://patents.google.com/patent/US20170313978A1/en,https://patentimages.storage.googleapis.com/66/e9/b8/c960703da471c1/US20170313978A1-20171102-D00000.png
GB-2551533-A,"A surgical assembly, stabilisation plate and methods ","3D Metal Printing Ltd, Royal Devon And Exeter Nhs Found Trust, Univ Bath","Casonato Alberto, Toms Andrew, Gill Richie, R MacLeod Alisdair",2016-06-21,2016-06-21,2017-12-27,,https://patents.google.com/patent/GB2551533A/en,
WO-2014125261-A9,Image velocimetry ,University Of Bath,David James CLEAVER,2013-02-15,2014-02-11,2014-12-31,,https://patents.google.com/patent/WO2014125261A9/en,
WO-2014087165-A1,Tankyrase inhibitors ,University Of Bath,"Michael David THREADGILL, Matthew David LLOYD, Andrew Spencer THOMPSON, Amit NATHUBHAI, Pauline Joy Wood, Helen Angharad PAINE, Ekaterina KUMPAN, Peter Thomas SUNDERLAND, Esther CHUE YEN WOON",2012-12-06,2013-12-05,2014-06-12,,https://patents.google.com/patent/WO2014087165A1/en,
US-2017059573-A1,Method of detecting peroxynitrite using a complex of a saccharide and an arylboronate-based fluorescent probe ,University Of Bath,"Tony D. James, Steven D BULL, Xiaolong Sun",2014-02-27,2015-02-24,2017-03-02,,https://patents.google.com/patent/US20170059573A1/en,https://patentimages.storage.googleapis.com/fe/ae/68/5c8d79102e202e/US20170059573A1-20170302-D00001.png
GB-201705641-D0,Apparatus and method for monitoring objects in space ,Univ Bath,,2017-04-07,2017-04-07,2017-05-24,,https://patents.google.com/patent/GB201705641D0/en,
GB-201615282-D0,Tankyrase inhibitors ,Univ Bath,,2016-09-08,2016-09-08,2016-10-26,,https://patents.google.com/patent/GB201615282D0/en,
EP-3542132-A1,"Apparatus, method and system relating to aircraft systems ",University Of Bath,"David Cleaver, Jonathan DU BOIS, Pejman IRAVANI, Anthony LAWRENSON",2016-11-17,2017-11-10,2019-09-25,,https://patents.google.com/patent/EP3542132A1/en,
WO-2014122480-A1,16- and 17- deuterated estrogen-3-sulfamates as estrogenic agents ,University Of Bath,Barry Victor Lloyd Potter,2013-02-11,2014-02-10,2014-08-14,,https://patents.google.com/patent/WO2014122480A1/en,
EP-2802312-B1,Wound dressing ,The University Of Bath,"Andrew Tobias JENKINS, Naig Tun THET, June MERCER-CHALMERS",2012-01-12,2012-07-27,2018-12-26,2018-12-26,https://patents.google.com/patent/EP2802312B1/en,https://patentimages.storage.googleapis.com/50/c6/60/993fe66ebd0bbf/imgf0001.png
US-2016282355-A1,Materials and methods for analysing glycation ,The University Of Bath,"Tony David James, Stephen Edward Flower, Johannes Maria Hubertus Van Den Elsen, Marta Patricia Pereira Morais",2013-03-20,2014-03-19,2016-09-29,,https://patents.google.com/patent/US20160282355A1/en,https://patentimages.storage.googleapis.com/e9/14/67/d2df76d67ecbbb/US20160282355A1-20160929-D00001.png
WO-2019092388-A1,Synthesis of monoterpenoid ester compounds ,University Of Bath,"Matthew Quinn STYLES, Micaela Gabrielle CHACON, David Jonathan Leak",2017-11-10,2017-11-10,2019-05-16,,https://patents.google.com/patent/WO2019092388A1/en,
WO-2019220130-A1,"Apparatus, method and system relating to aircraft systems ",University Of Bath,"David Cleaver, Jonathan DU BOIS, Pejman IRAVANI",2018-05-18,2019-05-16,2019-11-21,,https://patents.google.com/patent/WO2019220130A1/en,
US-2016304529-A1,Novel Opioid Compounds and Their Uses ,"The University Of Bath, The Torrey Pines Institute For Molecular Studies, Sri International","John Lewis, Stephen Husbands, Lawrence Toll",2013-12-05,2014-12-05,2016-10-20,,https://patents.google.com/patent/US20160304529A1/en,https://patentimages.storage.googleapis.com/16/34/e3/0ae7d8a0b013b3/US20160304529A1-20161020-D00001.png
CN-104797338-A,Catalyst comprising iron and carbon nanotubes ,巴斯大学,"M.D.琼斯, D.马蒂拉, J.P.奥伯恩, R.E.欧文, D.米内特, P.普拉辛斯基, S.I.帕斯卡",2012-11-16,2013-11-15,2015-07-22,,https://patents.google.com/patent/CN104797338A/en,
EP-2361502-A1,"Active antimicrobial compositions, coatings and methods for controlling pathogenic bacteria ","Max-Planck-Gesellschaft zur Förderung der Wissenschaften e.V., University Of Bath","Renate Förch, Andrew Jenkins",2010-02-05,2010-02-05,2011-08-31,,https://patents.google.com/patent/EP2361502A1/en,https://patentimages.storage.googleapis.com/9e/25/58/421d13d11c392f/imgf0001.png
US-8865750-B2,Small molecule inhibitors of RGS proteins ,"The Regents Of The University Of Michigan, The University Of Bath","Richard Neubig, Levi Blazer, Stephen Husbands, Scott Larsen, John Traynor",2011-04-28,2012-04-27,2014-10-21,2014-10-21,https://patents.google.com/patent/US8865750B2/en,https://patentimages.storage.googleapis.com/dc/c1/40/bb26248fefba4b/US08865750-20141021-D00001.png
US-8594947-B2,Crystal structure of an angiotensin-converting enzyme (ACE) and uses thereof ,"University Of Bath, University Of Cape Town","Ravi Acharya, Edward Sturrock",2002-09-12,2010-02-26,2013-11-26,2013-11-26,https://patents.google.com/patent/US8594947B2/en,https://patentimages.storage.googleapis.com/5f/be/c9/e668a756bc86ca/US08594947-20131126-D00000.png
CA-3069809-A1,Methods and compositions for treating inflammation ,"University Of Massachusetts, University Of Bath, Randall Mrsny, Beth A. Mccormick, Roland Ellwood Dolle","Randall Mrsny, Beth A. Mccormick, Roland Ellwood Dolle",2017-07-14,2018-07-13,2019-01-17,,https://patents.google.com/patent/CA3069809A1/en,
CN-110177570-A,Immunogenic composition and application thereof comprising Sbi albumen ,巴斯大学,"让·凡登埃尔森, 安德鲁·格雷厄姆·沃茨, 凯文·詹姆斯·马奇班克",2016-11-25,2017-11-24,2019-08-27,,https://patents.google.com/patent/CN110177570A/en,
CN-106661086-A,Drug delivery enhancement agents ,巴斯大学,R·J·姆尔斯尼,2014-06-12,2015-06-12,2017-05-10,,https://patents.google.com/patent/CN106661086A/en,
WO-2012049464-A1,Reagent ,"The University Of Bath, Bath Ventures",Geoffrey Holman,2010-10-13,2011-10-13,2012-04-19,,https://patents.google.com/patent/WO2012049464A1/en,
EP-2389419-A1,Antimicrobial coatings ,The University of Bath,"Andrew Johnson, Neil Poulter, Andrew Jenkins",2009-01-20,2010-01-20,2011-11-30,,https://patents.google.com/patent/EP2389419A1/en,
GB-201121659-D0,Substrates for semiconductor devices ,"Element Six Ltd, Univ Bath",,2011-12-16,2011-12-16,2012-01-25,,https://patents.google.com/patent/GB201121659D0/en,
GB-201112224-D0,Method for manufacturing a nanocomposite material ,Univ Bath,,2011-07-15,2011-07-15,2011-08-31,,https://patents.google.com/patent/GB201112224D0/en,
GB-2558654-A,Fibre ropes and composite materials containing fibre ropes ,Univ Bath,"Meo Michele, Pinto Fulvio, Iervolino Onorio",2017-01-16,2017-01-16,2018-07-18,,https://patents.google.com/patent/GB2558654A/en,
US-2021396736-A1,Screening assay ,The University Of Bath,"Jody Michael MASON, Neil Mark KAD",2018-12-20,2019-12-20,2021-12-23,,https://patents.google.com/patent/US20210396736A1/en,https://patentimages.storage.googleapis.com/19/ae/51/3f825fd19a152a/US20210396736A1-20211223-D00000.png
EP-2442831-A2,Materials and methods relating to glycosylation ,The University Of Bath,"Andrew Graham Watts, Amanda Barbara Mackenzie, Terrence Kantner",2009-06-16,2010-06-17,2012-04-25,,https://patents.google.com/patent/EP2442831A2/en,
EP-2904375-A1,Methods and apparatus for the in vitro modelling of drug administration ,The University Of Bath,"Randall Jay MRSNY, Hanne Maarit KINNUNEN",2012-10-04,2013-10-03,2015-08-12,,https://patents.google.com/patent/EP2904375A1/en,
GB-201121655-D0,Substrates for semiconductor devices ,"Element Six Ltd, Univ Bath",,2011-12-16,2011-12-16,2012-01-25,,https://patents.google.com/patent/GB201121655D0/en,
GB-201110557-D0,Substrates for semiconductor devices ,"Element Six Ltd, Univ Bath",,2010-06-25,2011-06-22,2011-08-03,,https://patents.google.com/patent/GB201110557D0/en,
GB-201210229-D0,Method of coding video and audio transmissions ,Univ Bath,,2012-06-11,2012-06-11,2012-07-25,,https://patents.google.com/patent/GB201210229D0/en,
US-2022019011-A1,An enclosure ,University Of Bath,"Ventsislav VALEV, Peter MOSLEY, William Wadsworth, Dimitar SLAVOV, Kristina RUSIMOVA",2018-11-13,2019-11-12,2022-01-20,,https://patents.google.com/patent/US20220019011A1/en,https://patentimages.storage.googleapis.com/fa/fc/26/50d94bd4b45626/US20220019011A1-20220120-D00000.png
GB-201609036-D0,Bone Cement Mixer ,Univ Bath,,2016-05-23,2016-05-23,2016-07-06,,https://patents.google.com/patent/GB201609036D0/en,
EP-2954060-A1,Method of increasing lipid accummulation in metschnikowia pulcherrima cells ,University Of Bath,"Christopher CHUCK, Fabio SANTOMAURO, Roderick Scott",2013-02-07,2014-02-03,2015-12-16,,https://patents.google.com/patent/EP2954060A1/en,
WO-2014041362-A1,Uv radiation cleavable compounds ,University Of Bath,"Ian EGGLESTON, Shararah POURZAND",2012-09-14,2013-09-13,2014-03-20,,https://patents.google.com/patent/WO2014041362A1/en,
GB-201609038-D0,Bone cement mixer ,Univ Bath,,2016-05-23,2016-05-23,2016-07-06,,https://patents.google.com/patent/GB201609038D0/en,
WO-2011064559-A3,Novel inositol phosphate derivatives ,"Queen Mary And Westfield College, University Of London, University Of Bath","Marco Falasca, Andrew Michael Riley, Himali Yasmin Godage, Barry Victor Lloyd Potter",2009-11-30,2010-11-30,2011-09-09,,https://patents.google.com/patent/WO2011064559A3/en,
WO-2017068350-A1,Methods of making metal oxide catalysts ,"University Of Bath, Imperial Innovations Limited",Salvador ESLAVA,2015-10-20,2016-10-20,2017-04-27,,https://patents.google.com/patent/WO2017068350A1/en,
ES-2795997-T3,Structural Analysis of Proteins Based on Red Edge Excitation Displacement Spectroscopy (REES) ,Univ Bath,Christopher Roland Pudney,2016-03-18,2017-03-17,2020-11-25,2020-11-25,https://patents.google.com/patent/ES2795997T3/en,
GB-202204326-D0,Composition ,"Univ Bath, Univ Lancaster",,2022-03-28,2022-03-28,2022-05-11,,https://patents.google.com/patent/GB202204326D0/en,
GB-201317608-D0,Nanospheres ,"Univ Bristol, Univ Bath",,2013-10-04,2013-10-04,2013-11-20,,https://patents.google.com/patent/GB201317608D0/en,
GB-202009403-D0,Electrochemical sensing ,"Univ Bath, Univ Estadual Paulista ""Julio De Mesquita Filho""",,2020-05-13,2020-06-19,2020-08-05,,https://patents.google.com/patent/GB202009403D0/en,
US-2014377836-A1,Crystal ,"University Of Bath, University Of Cape Town","Ravi Acharya, Edward Sturrock",2006-01-10,2014-06-05,2014-12-25,,https://patents.google.com/patent/US20140377836A1/en,https://patentimages.storage.googleapis.com/37/0e/6b/510db7e2045748/US20140377836A1-20141225-D00001.png
GB-201321388-D0,Sensor ,"Univ Exeter, South Devon Healthcare Nhs Foundation Trust, Univ Bath",,2013-12-04,2013-12-04,2014-01-15,,https://patents.google.com/patent/GB201321388D0/en,
WO-2013088162-A1,Antimicrobial compounds and methods ,"Swansea University, University Of Bath","Yamni Nigam, Edward Dudley, Alyson Bexfield, Alison Elisabeth Bond, Russel Peter Newton, Norman Authur RATCLIFFE, Barry Victor Lloyd Potter, Xiangdong Su",2011-12-16,2012-12-14,2013-06-20,,https://patents.google.com/patent/WO2013088162A1/en,
GB-201405954-D0,Materials and methods for analysing phosphorylation of a target polypeptide ,Univ Bath,,2014-04-02,2014-04-02,2014-05-14,,https://patents.google.com/patent/GB201405954D0/en,
GB-202203399-D0,c-jun antagonist peptides ,Univ Bath,,2022-03-11,2022-03-11,2022-04-27,,https://patents.google.com/patent/GB202203399D0/en,
GB-202009007-D0,Modulators of tight junction permeability ,Univ Bath,,2020-06-12,2020-06-12,2020-07-29,,https://patents.google.com/patent/GB202009007D0/en,
GB-2587401-A,"Atomic layer deposition method of metal (II), (0), or (IV) containing film layer ",Univ Bath,"D Parish James, L Johnson Andrew",2019-09-27,2019-09-27,2021-03-31,,https://patents.google.com/patent/GB2587401A/en,
GB-202008031-D0,Therapy ,Univ Bath,,2020-05-28,2020-05-28,2020-07-15,,https://patents.google.com/patent/GB202008031D0/en,
GB-201903057-D0,Novel opiod compounds and their uses ,Univ Bath,,2019-03-07,2019-03-07,2019-04-24,,https://patents.google.com/patent/GB201903057D0/en,
GB-202002173-D0,Micro-organism ,Univ Bath,,2020-02-18,2020-02-18,2020-04-01,,https://patents.google.com/patent/GB202002173D0/en,
GB-201902262-D0,Micro-organism ,Univ Bath,,2019-02-19,2019-02-19,2019-04-03,,https://patents.google.com/patent/GB201902262D0/en,
GB-201423381-D0,"Fibre reinforcement structure, composite material, and methods of their fabrication ",Univ Bath,,2014-12-31,2014-12-31,2015-02-11,,https://patents.google.com/patent/GB201423381D0/en,
GB-2552704-A,Biomolecule preservation ,Univ Bath,"Sartbaeva Asel, Anthony Wells Stephen",2016-08-04,2016-08-04,2018-02-07,,https://patents.google.com/patent/GB2552704A/en,
GB-202001491-D0,Dimerization assay ,Univ Bath,,2020-02-04,2020-02-04,2020-03-18,,https://patents.google.com/patent/GB202001491D0/en,
EP-3746013-A1,Sensor for locating within a urinary drainage bag ,The University Of Bath,"Scarlet MILO, Andrew Tobias JENKINS",2018-01-29,2019-01-28,2020-12-09,,https://patents.google.com/patent/EP3746013A1/en,
CA-3143572-A1,"Bis(2-haloacetamido)-compounds for use as linking agents and resultant products which comprise antibodies, half-antibodies and antibody fragments ","The University Of Bath, Andrew Watts, Bayan ALKHAWAJA","Andrew Watts, Bayan ALKHAWAJA",2019-06-25,2020-06-25,2020-12-30,,https://patents.google.com/patent/CA3143572A1/en,
AU-2020344202-A1,Pacemaker device ,"Ceryx Medical Limited, The University Of Bath","Ashok Singh CHAUHAN, Paul CURZONS, Alain NOGARET, Julian PATON",2019-09-10,2020-09-08,2022-03-10,,https://patents.google.com/patent/AU2020344202A1/en,
GB-201703300-D0,Multiplexed transdermal extraction and detection devices for non-invasive monitoring of substances and methods of use ,Univ Bath,,2017-03-01,2017-03-01,2017-04-12,,https://patents.google.com/patent/GB201703300D0/en,
GB-201702546-D0,Oral delivery compositions ,Univ Bath,,2017-02-16,2017-02-16,2017-04-05,,https://patents.google.com/patent/GB201702546D0/en,
GB-201607802-D0,Biomaterials ,Univ Bath,,2016-05-04,2016-05-04,2016-06-15,,https://patents.google.com/patent/GB201607802D0/en,
GB-201521100-D0,Apparatus ,Univ Bath The And University Of Brighton,,2015-11-30,2015-11-30,2016-01-13,,https://patents.google.com/patent/GB201521100D0/en,
GB-201423382-D0,"Fibre reinforcement structure, composite material, and methods of their fabrication ",Univ Bath,,2014-12-31,2014-12-31,2015-02-11,,https://patents.google.com/patent/GB201423382D0/en,
GB-202008973-D0,Polymers ,Univ Bath,,2020-06-12,2020-06-12,2020-07-29,,https://patents.google.com/patent/GB202008973D0/en,
GB-201902258-D0,Micro-organism ,Univ Bath,,2019-02-19,2019-02-19,2019-04-03,,https://patents.google.com/patent/GB201902258D0/en,
GB-202009710-D0,Cross-linking methods ,Univ Bath,,2020-06-25,2020-06-25,2020-08-12,,https://patents.google.com/patent/GB202009710D0/en,
GB-202012564-D0,Polymerisation processes ,Univ Bath,,2020-08-12,2020-08-12,2020-09-23,,https://patents.google.com/patent/GB202012564D0/en,
GB-202106873-D0,Compounds ,Univ Bath,,2021-05-13,2021-05-13,2021-06-30,,https://patents.google.com/patent/GB202106873D0/en,
GB-202219561-D0,Synthetic cannabinoid detection ,Univ Bath,,2022-12-22,2022-12-22,2023-02-08,,https://patents.google.com/patent/GB202219561D0/en,
GB-202206436-D0,Determining biological parameters of a cell ,Univ Bath,,2022-05-03,2022-05-03,2022-06-15,,https://patents.google.com/patent/GB202206436D0/en,
GB-202001292-D0,"Opposed, free-piston engine ",Univ Bath,,2020-01-30,2020-01-30,2020-03-18,,https://patents.google.com/patent/GB202001292D0/en,
CR-20150081-A,THE DETECTION OF A SPECIFIC PATHOGEN FUNG ,"Malaysian Palm Oil Board Mpob, Univ Bath","Hefni Rusli Mohd, Abu Seman IDRIS, M Cooper Richard, E Wheals Alan",2014-02-18,2015-02-17,2015-09-01,,https://patents.google.com/patent/CR20150081A/en,
GB-201720402-D0,Fluorescent probes ,Univ Bath,,2017-12-07,2017-12-07,2018-01-24,,https://patents.google.com/patent/GB201720402D0/en,
GB-202018980-D0,Sensing apparatus and method ,Univ Bath,,2020-12-02,2020-12-02,2021-01-13,,https://patents.google.com/patent/GB202018980D0/en,
GB-202201188-D0,Particle comprising a virus ,Univ Bath,,2022-01-31,2022-01-31,2022-03-16,,https://patents.google.com/patent/GB202201188D0/en,
GB-201706877-D0,Piezo-electric activated valve ,"Moog Controls Ltd, Univ Bath",,2017-04-28,2017-04-28,2017-06-14,,https://patents.google.com/patent/GB201706877D0/en,
GB-201700962-D0,Piezoresistive sensing ,Univ Bath,,2017-01-20,2017-01-20,2017-03-08,,https://patents.google.com/patent/GB201700962D0/en,
EP-3102694-A1,Methods (AMACR) ,University of Bath,"Matthew Lloyd, Timothy WOODMAN, Maksims JEVGLEVSKIS, Michael Threadgill, Guat LEE",2014-02-03,2015-02-02,2016-12-14,,https://patents.google.com/patent/EP3102694A1/en,
GB-202019318-D0,Gas filters ,Univ Bath,,2020-12-08,2020-12-08,2021-01-20,,https://patents.google.com/patent/GB202019318D0/en,
GB-201915283-D0,Tactile pixels ,Univ Bath,,2019-10-22,2019-10-22,2019-12-04,,https://patents.google.com/patent/GB201915283D0/en,
GB-201802231-D0,Metal oxide deposition ,"Pilkington Group Ltd, Univ Bath",,2015-07-17,2016-07-13,2018-03-28,,https://patents.google.com/patent/GB201802231D0/en,
GB-201622055-D0,Fluorescent probes ,Univ Bath,,2016-12-22,2016-12-22,2017-02-08,,https://patents.google.com/patent/GB201622055D0/en,
GB-202217839-D0,Cyclic-moiety containing compounds and polymers comprising the same ,Univ Bath,,2022-11-28,2022-11-28,2023-01-11,,https://patents.google.com/patent/GB202217839D0/en,
GB-202208499-D0,Composition ,"Cellesce Ltd, Univ Bath",,2022-06-10,2022-06-10,2022-07-27,,https://patents.google.com/patent/GB202208499D0/en,
GB-201504645-D0,Layered semiconductor materials and methods of fabrication ,Univ Bath,,2015-03-19,2015-03-19,2015-05-06,,https://patents.google.com/patent/GB201504645D0/en,
GB-202207058-D0,"Apparatus, method and system relating to aircraft systems ",Univ Bath,,2018-05-18,2018-05-18,2022-06-29,,https://patents.google.com/patent/GB202207058D0/en,
GB-202205499-D0,Microfluidic device and system for contamination monitoring ,Univ Bath,,2022-04-04,2022-04-13,2022-05-25,,https://patents.google.com/patent/GB202205499D0/en,
GB-201903878-D0,Synthetic cannabinoid detection ,Univ Bath,,2019-03-21,2019-03-21,2019-05-08,,https://patents.google.com/patent/GB201903878D0/en,
GB-201507537-D0,Composite elastic wave waveguide ,Univ Bath,,2015-05-01,2015-05-01,2015-06-17,,https://patents.google.com/patent/GB201507537D0/en,
GB-201107189-D0,Fusion proteins ,"Tmo Renewables Ltd, Univ Bath",,2011-04-28,2011-04-28,2011-06-15,,https://patents.google.com/patent/GB201107189D0/en,
GB-201114701-D0,Fusion proteins ,"Tmo Renewables Ltd, Univ Bath",,2011-08-25,2011-08-25,2011-10-12,,https://patents.google.com/patent/GB201114701D0/en,
WO-2010131018-A1,Double photonic bandgap hollow core photonic crystal fibre ,University Of Bath,Fetah Benabid,2009-05-15,2010-05-17,2010-11-18,,https://patents.google.com/patent/WO2010131018A1/en,
GB-201208285-D0,Impactor and collection cup for impactor ,Univ Bath,,2012-05-11,2012-05-11,2012-06-20,,https://patents.google.com/patent/GB201208285D0/en,
GB-201218838-D0,Coating substrates ,"Pilkington Group Ltd, Univ Bath",,2012-10-19,2012-10-19,2012-12-05,,https://patents.google.com/patent/GB201218838D0/en,
GB-201222798-D0,Substrates for semiconductor devices ,"Element Six Ltd, Univ Bath",,2012-12-18,2012-12-18,2013-01-30,,https://patents.google.com/patent/GB201222798D0/en,
GB-201322307-D0,Methods and products for predicting virulence and/or toxicity of an MRSA pathogen ,Univ Bath,,2013-12-17,2013-12-17,2014-01-29,,https://patents.google.com/patent/GB201322307D0/en,
GB-201415042-D0,Methods and products for predicting virulence and/or toxicity of an MRSA pathogen ,Univ Bath,,2014-08-26,2014-08-26,2014-10-08,,https://patents.google.com/patent/GB201415042D0/en,
GB-201611045-D0,Compounds for treating trypanosomal infections ,Univ Of Bath The,,2016-06-24,2016-06-24,2016-08-10,,https://patents.google.com/patent/GB201611045D0/en,
