search URL:,https://patents.google.com/?assignee=Univ+Reading&after=filing:20100101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2011109464-A1,Sensing network and method ,"Selex Galileo Limited, University Of Reading, University Of Surrey","Jason LEPLEY, Graham Bourdon, Douglas Friedrich, Alison C. Rudd, Stephen Belcher, Alan G. Robins",2009-09-11,2011-01-21,2011-05-12,,https://patents.google.com/patent/US20110109464A1/en,https://patentimages.storage.googleapis.com/94/0a/77/1fc0ef2a041eca/US20110109464A1-20110512-D00000.png
US-10451784-B2,Temperature invariant infrared filter ,"Schlumberger Technology Corporation, University Of Reading","Timothy Jones, Nathan Lawrence, Gary Hawkins, Richard Sherwood, Karim Djotni",2014-09-15,2015-09-09,2019-10-22,2019-10-22,https://patents.google.com/patent/US10451784B2/en,https://patentimages.storage.googleapis.com/ce/6f/14/cd5f023fcea177/US10451784-20191022-D00000.png
CN-104968324-A,Dermal compositions containing unnatural hygroscopic amino acids ,"美地医药有限公司, 雷丁大学","娜塔莎·阿斯基, 安德烈·科布, 艾德里安·克里斯多弗·威廉斯, 马克·巴里·布朗",2012-11-12,2013-11-12,2015-10-07,,https://patents.google.com/patent/CN104968324A/en,
EP-2432871-A1,Synthetic graft ,The University of Reading,Che Connon,2009-05-22,2010-05-21,2012-03-28,,https://patents.google.com/patent/EP2432871A1/en,
GB-2489320-A,Transport of cells by encapsulating in a hydrogel ,Univ Reading,"Che John Connon, Richard Anthony Cave, Vitaliy Khutoryanskiy, Bernice Wright",2011-03-21,2012-03-21,2012-09-26,,https://patents.google.com/patent/GB2489320A/en,
EP-2516378-B1,Synthesis of ligands for use in actinide extraction ,The University of Reading,"Francis William Lewis, Laurence Marius Harwood, Michael James Hudson",2009-12-23,2010-12-21,2014-01-22,2014-01-22,https://patents.google.com/patent/EP2516378B1/en,
EP-2526140-A1,Improved hydrogel synthesis ,The University of Reading,"Vitaliy Khutoryanskiy, Olga Khutoryanskaya, Joseph Peter Cook, Glenn William Goodall",2010-01-20,2011-01-20,2012-11-28,,https://patents.google.com/patent/EP2526140A1/en,
WO-2012131296-A2,Deposition method and product obtained thereby ,University Of Reading,"Adam SQUIRES, Joanne Margaret ELLIOTT, Samina AKBAR",2011-03-29,2012-03-27,2012-10-04,,https://patents.google.com/patent/WO2012131296A2/en,
WO-2010082067-A2,Processors ,The University Of Reading,"Stephen Frederick Knight Leach, James Arthur Dean Wallace Anderson",2009-01-16,2010-01-15,2010-07-22,,https://patents.google.com/patent/WO2010082067A2/en,
US-2011275784-A1,Asymmetric synthesis of peptides ,University Of Reading,"Laurence M. Harwood, Ran Yan",2005-09-13,2011-07-20,2011-11-10,,https://patents.google.com/patent/US20110275784A1/en,
GB-201221069-D0,Control method ,Univ Reading,,2012-11-23,2012-11-23,2013-01-09,,https://patents.google.com/patent/GB201221069D0/en,
GB-2509118-A,Method for producing multiply charged ions ,Univ Reading,Rainer Karl Cramer,2012-12-21,2012-12-21,2014-06-25,,https://patents.google.com/patent/GB2509118A/en,
GB-201621400-D0,Repairable polymer compositions ,Univ Of Reading The,,2016-12-15,2016-12-15,2017-02-01,,https://patents.google.com/patent/GB201621400D0/en,
GB-201904963-D0,Composition for reducing antimicrobial resistance ,"Anpario Plc, Univ Of Reading",,2019-04-08,2019-04-08,2019-05-22,,https://patents.google.com/patent/GB201904963D0/en,
GB-2509786-A,Method of Monitoring Microwave Emissions from the Environment Using a Radar System ,"Univ Reading, Met Office","Timothy Darlington, Jacqueline Sugier, Michael Roger Andrew Edwards, Anthony Illingworth, John Nicol, Robert Thompson",2013-01-15,2013-01-15,2014-07-16,,https://patents.google.com/patent/GB2509786A/en,
GB-201604109-D0,Paste ,Univ Reading The,,2016-03-10,2016-03-10,2016-04-20,,https://patents.google.com/patent/GB201604109D0/en,
GB-201413317-D0,Atheroscierosis treatment ,Univ Reading The,,2014-07-28,2014-07-28,2014-09-10,,https://patents.google.com/patent/GB201413317D0/en,
US-2013267681-A1,Chemical ligation by ring opening of oxo-thiomorpholines ,The University Of Reading,"Laurence Marius Harwood, Donald A. Wellings, David John Moody",2010-08-13,2011-08-12,2013-10-10,,https://patents.google.com/patent/US20130267681A1/en,
GB-201013210-D0,New gamma amino acid ,Univ Reading The,,2010-08-05,2010-08-05,2010-09-22,,https://patents.google.com/patent/GB201013210D0/en,
GB-201006380-D0,Excipients and their use ,Univ Reading The,,2010-04-16,2010-04-16,2010-06-02,,https://patents.google.com/patent/GB201006380D0/en,
WO-2015067929-A1,Airborne cloud and particle detector for use with a weather balloon ,The University Of Reading,"Richard Giles HARRISON, Kerianne NICOLL",2013-11-05,2014-11-04,2015-05-14,,https://patents.google.com/patent/WO2015067929A1/en,
GB-2511623-B8,Inkjet-printed deposit comprising self-assembled supramolecular polymer ,"Domino Printing Sciences Plc, Univ Reading","Josephine Harries, Andrew Clifton, Howard Colquhoun, Wayne Hayes, Lewis Hart",2013-01-18,2014-01-17,2016-04-13,2016-04-13,https://patents.google.com/patent/GB2511623B8/en,
GB-201113978-D0,Transport of cells ,Univ Reading,,2011-08-12,2011-08-12,2011-09-28,,https://patents.google.com/patent/GB201113978D0/en,
GB-201104711-D0,Transport of cells ,Univ Reading,,2011-03-21,2011-03-21,2011-05-04,,https://patents.google.com/patent/GB201104711D0/en,
GB-201116766-D0,"Assays, methods for carrying out assays, assay kits and method for manufacturing assay kits ","Cambridge Entpr Ltd, Univ Reading",,2011-09-28,2011-09-28,2011-11-09,,https://patents.google.com/patent/GB201116766D0/en,
GB-202302434-D0,Compositions and method for the treatment of onychomycosis ,Univ Of Reading,,2023-02-21,2023-02-21,2023-04-05,,https://patents.google.com/patent/GB202302434D0/en,
GB-201901507-D0,New treatment ,"St Georges Hospital Medical School, Univ Of Reading",,2019-02-04,2019-02-04,2019-03-27,,https://patents.google.com/patent/GB201901507D0/en,
